"code","country","year","month","technology","value","group"
"AT","Austria","2020","1","Gas",1.823737,"Fossil"
"AT","Austria","2020","1","Coal",0.11806075,"Fossil"
"AT","Austria","2020","1","Oil",0,"Fossil"
"AT","Austria","2020","1","Hydro",2.12220925,"Renewable"
"AT","Austria","2020","1","Nuclear",0,"Nuclear"
"AT","Austria","2020","1","Wind",0.426677,"Renewable"
"AT","Austria","2020","1","Solar",0.019033,"Renewable"
"AT","Austria","2020","1","Other Renewable",0.228692,"Renewable"
"AT","Austria","2020","1","Other",0.016368,"Fossil"
"AT","Austria","2020","2","Gas",0.99507975,"Fossil"
"AT","Austria","2020","2","Coal",0.1052865,"Fossil"
"AT","Austria","2020","2","Oil",0,"Fossil"
"AT","Austria","2020","2","Hydro",2.34863675,"Renewable"
"AT","Austria","2020","2","Nuclear",0,"Nuclear"
"AT","Austria","2020","2","Wind",1.155703,"Renewable"
"AT","Austria","2020","2","Solar",0.033513,"Renewable"
"AT","Austria","2020","2","Other Renewable",0.215529,"Renewable"
"AT","Austria","2020","2","Other",0.015312,"Fossil"
"AT","Austria","2020","3","Gas",0.94470675,"Fossil"
"AT","Austria","2020","3","Coal",0.1081085,"Fossil"
"AT","Austria","2020","3","Oil",0,"Fossil"
"AT","Austria","2020","3","Hydro",2.707584,"Renewable"
"AT","Austria","2020","3","Nuclear",0,"Nuclear"
"AT","Austria","2020","3","Wind",0.803599,"Renewable"
"AT","Austria","2020","3","Solar",0.060004,"Renewable"
"AT","Austria","2020","3","Other Renewable",0.231541,"Renewable"
"AT","Austria","2020","3","Other",0.0163185,"Fossil"
"AT","Austria","2020","4","Gas",0.41209725,"Fossil"
"AT","Austria","2020","4","Coal",0,"Fossil"
"AT","Austria","2020","4","Oil",0,"Fossil"
"AT","Austria","2020","4","Hydro",2.7360115,"Renewable"
"AT","Austria","2020","4","Nuclear",0,"Nuclear"
"AT","Austria","2020","4","Wind",0.429732,"Renewable"
"AT","Austria","2020","4","Solar",0.101515,"Renewable"
"AT","Austria","2020","4","Other Renewable",0.221792,"Renewable"
"AT","Austria","2020","4","Other",0.01584,"Fossil"
"AT","Austria","2020","5","Gas",0.0846805,"Fossil"
"AT","Austria","2020","5","Coal",0,"Fossil"
"AT","Austria","2020","5","Oil",0,"Fossil"
"AT","Austria","2020","5","Hydro",3.40284975,"Renewable"
"AT","Austria","2020","5","Nuclear",0,"Nuclear"
"AT","Austria","2020","5","Wind",0.717886,"Renewable"
"AT","Austria","2020","5","Solar",0.102552,"Renewable"
"AT","Austria","2020","5","Other Renewable",0.224444,"Renewable"
"AT","Austria","2020","5","Other",0.016368,"Fossil"
"AT","Austria","2020","6","Gas",0.093477,"Fossil"
"AT","Austria","2020","6","Coal",0,"Fossil"
"AT","Austria","2020","6","Oil",0,"Fossil"
"AT","Austria","2020","6","Hydro",3.90138125,"Renewable"
"AT","Austria","2020","6","Nuclear",0,"Nuclear"
"AT","Austria","2020","6","Wind",0.661759,"Renewable"
"AT","Austria","2020","6","Solar",0.096832,"Renewable"
"AT","Austria","2020","6","Other Renewable",0.209301,"Renewable"
"AT","Austria","2020","6","Other",0.01584,"Fossil"
"AT","Austria","2020","7","Gas",0.4410475,"Fossil"
"AT","Austria","2020","7","Coal",0,"Fossil"
"AT","Austria","2020","7","Oil",0,"Fossil"
"AT","Austria","2020","7","Hydro",4.03644025,"Renewable"
"AT","Austria","2020","7","Nuclear",0,"Nuclear"
"AT","Austria","2020","7","Wind",0.36167,"Renewable"
"AT","Austria","2020","7","Solar",0.109666,"Renewable"
"AT","Austria","2020","7","Other Renewable",0.203787,"Renewable"
"AT","Austria","2020","7","Other",0.016368,"Fossil"
"AT","Austria","2020","8","Gas",0.4015615,"Fossil"
"AT","Austria","2020","8","Coal",0,"Fossil"
"AT","Austria","2020","8","Oil",0,"Fossil"
"AT","Austria","2020","8","Hydro",3.76809225,"Renewable"
"AT","Austria","2020","8","Nuclear",0,"Nuclear"
"AT","Austria","2020","8","Wind",0.399191,"Renewable"
"AT","Austria","2020","8","Solar",0.096417,"Renewable"
"AT","Austria","2020","8","Other Renewable",0.212446,"Renewable"
"AT","Austria","2020","8","Other",0.016368,"Fossil"
"AT","Austria","2020","9","Gas",0.39613125,"Fossil"
"AT","Austria","2020","9","Coal",0,"Fossil"
"AT","Austria","2020","9","Oil",0,"Fossil"
"AT","Austria","2020","9","Hydro",3.60764575,"Renewable"
"AT","Austria","2020","9","Nuclear",0,"Nuclear"
"AT","Austria","2020","9","Wind",0.462072,"Renewable"
"AT","Austria","2020","9","Solar",0.090666,"Renewable"
"AT","Austria","2020","9","Other Renewable",0.204992,"Renewable"
"AT","Austria","2020","9","Other",0.01584,"Fossil"
"AT","Austria","2020","10","Gas",0.8063195,"Fossil"
"AT","Austria","2020","10","Coal",0,"Fossil"
"AT","Austria","2020","10","Oil",0,"Fossil"
"AT","Austria","2020","10","Hydro",3.311074,"Renewable"
"AT","Austria","2020","10","Nuclear",0,"Nuclear"
"AT","Austria","2020","10","Wind",0.748051,"Renewable"
"AT","Austria","2020","10","Solar",0.050009,"Renewable"
"AT","Austria","2020","10","Other Renewable",0.214243,"Renewable"
"AT","Austria","2020","10","Other",0.01639,"Fossil"
"AT","Austria","2020","11","Gas",1.1830065,"Fossil"
"AT","Austria","2020","11","Coal",0,"Fossil"
"AT","Austria","2020","11","Oil",0,"Fossil"
"AT","Austria","2020","11","Hydro",2.77995625,"Renewable"
"AT","Austria","2020","11","Nuclear",0,"Nuclear"
"AT","Austria","2020","11","Wind",0.406056,"Renewable"
"AT","Austria","2020","11","Solar",0.032065,"Renewable"
"AT","Austria","2020","11","Other Renewable",0.208491,"Renewable"
"AT","Austria","2020","11","Other",0.01584,"Fossil"
"AT","Austria","2020","12","Gas",1.47342325,"Fossil"
"AT","Austria","2020","12","Coal",0,"Fossil"
"AT","Austria","2020","12","Oil",0,"Fossil"
"AT","Austria","2020","12","Hydro",2.1803475,"Renewable"
"AT","Austria","2020","12","Nuclear",0,"Nuclear"
"AT","Austria","2020","12","Wind",0.667853,"Renewable"
"AT","Austria","2020","12","Solar",0.01853,"Renewable"
"AT","Austria","2020","12","Other Renewable",0.216407,"Renewable"
"AT","Austria","2020","12","Other",0.016368,"Fossil"
"BE","Belgium","2020","1","Gas",2.31108,"Fossil"
"BE","Belgium","2020","1","Coal",0,"Fossil"
"BE","Belgium","2020","1","Oil",8.1e-05,"Fossil"
"BE","Belgium","2020","1","Hydro",-0.005288,"Renewable"
"BE","Belgium","2020","1","Nuclear",3.062515,"Nuclear"
"BE","Belgium","2020","1","Wind",1.078986,"Renewable"
"BE","Belgium","2020","1","Solar",0.081236,"Renewable"
"BE","Belgium","2020","1","Other Renewable",0.439638,"Renewable"
"BE","Belgium","2020","1","Other",0.533834,"Fossil"
"BE","Belgium","2020","2","Gas",1.78348,"Fossil"
"BE","Belgium","2020","2","Coal",0,"Fossil"
"BE","Belgium","2020","2","Oil",2.3e-05,"Fossil"
"BE","Belgium","2020","2","Hydro",-0.007674,"Renewable"
"BE","Belgium","2020","2","Nuclear",2.860667,"Nuclear"
"BE","Belgium","2020","2","Wind",1.455675,"Renewable"
"BE","Belgium","2020","2","Solar",0.137913,"Renewable"
"BE","Belgium","2020","2","Other Renewable",0.263293,"Renewable"
"BE","Belgium","2020","2","Other",0.458597,"Fossil"
"BE","Belgium","2020","3","Gas",1.797634,"Fossil"
"BE","Belgium","2020","3","Coal",0,"Fossil"
"BE","Belgium","2020","3","Oil",5e-06,"Fossil"
"BE","Belgium","2020","3","Hydro",-0.00839,"Renewable"
"BE","Belgium","2020","3","Nuclear",3.045426,"Nuclear"
"BE","Belgium","2020","3","Wind",1.132025,"Renewable"
"BE","Belgium","2020","3","Solar",0.385798,"Renewable"
"BE","Belgium","2020","3","Other Renewable",0.387062,"Renewable"
"BE","Belgium","2020","3","Other",0.424601,"Fossil"
"BE","Belgium","2020","4","Gas",1.182465,"Fossil"
"BE","Belgium","2020","4","Coal",0,"Fossil"
"BE","Belgium","2020","4","Oil",2.3e-05,"Fossil"
"BE","Belgium","2020","4","Hydro",-0.013243,"Renewable"
"BE","Belgium","2020","4","Nuclear",2.953056,"Nuclear"
"BE","Belgium","2020","4","Wind",0.570204,"Renewable"
"BE","Belgium","2020","4","Solar",0.581001,"Renewable"
"BE","Belgium","2020","4","Other Renewable",0.375776,"Renewable"
"BE","Belgium","2020","4","Other",0.375123,"Fossil"
"BE","Belgium","2020","5","Gas",1.537844,"Fossil"
"BE","Belgium","2020","5","Coal",0,"Fossil"
"BE","Belgium","2020","5","Oil",1e-05,"Fossil"
"BE","Belgium","2020","5","Hydro",-0.017264,"Renewable"
"BE","Belgium","2020","5","Nuclear",3.034231,"Nuclear"
"BE","Belgium","2020","5","Wind",0.664069,"Renewable"
"BE","Belgium","2020","5","Solar",0.683328,"Renewable"
"BE","Belgium","2020","5","Other Renewable",0.390926,"Renewable"
"BE","Belgium","2020","5","Other",0.43212,"Fossil"
"BE","Belgium","2020","6","Gas",2.113558,"Fossil"
"BE","Belgium","2020","6","Coal",0,"Fossil"
"BE","Belgium","2020","6","Oil",6.5e-05,"Fossil"
"BE","Belgium","2020","6","Hydro",-0.02278,"Renewable"
"BE","Belgium","2020","6","Nuclear",2.167571,"Nuclear"
"BE","Belgium","2020","6","Wind",0.54135,"Renewable"
"BE","Belgium","2020","6","Solar",0.577623,"Renewable"
"BE","Belgium","2020","6","Other Renewable",0.378936,"Renewable"
"BE","Belgium","2020","6","Other",0.372018,"Fossil"
"BE","Belgium","2020","7","Gas",2.718643,"Fossil"
"BE","Belgium","2020","7","Coal",0,"Fossil"
"BE","Belgium","2020","7","Oil",7.1e-05,"Fossil"
"BE","Belgium","2020","7","Hydro",-0.023553,"Renewable"
"BE","Belgium","2020","7","Nuclear",2.185365,"Nuclear"
"BE","Belgium","2020","7","Wind",0.575909,"Renewable"
"BE","Belgium","2020","7","Solar",0.547615,"Renewable"
"BE","Belgium","2020","7","Other Renewable",0.390736,"Renewable"
"BE","Belgium","2020","7","Other",0.401465,"Fossil"
"BE","Belgium","2020","8","Gas",2.346201,"Fossil"
"BE","Belgium","2020","8","Coal",0,"Fossil"
"BE","Belgium","2020","8","Oil",7.1e-05,"Fossil"
"BE","Belgium","2020","8","Hydro",-0.025268,"Renewable"
"BE","Belgium","2020","8","Nuclear",2.045746,"Nuclear"
"BE","Belgium","2020","8","Wind",0.58238,"Renewable"
"BE","Belgium","2020","8","Solar",0.497071,"Renewable"
"BE","Belgium","2020","8","Other Renewable",0.401299,"Renewable"
"BE","Belgium","2020","8","Other",0.363257,"Fossil"
"BE","Belgium","2020","9","Gas",2.004669,"Fossil"
"BE","Belgium","2020","9","Coal",0,"Fossil"
"BE","Belgium","2020","9","Oil",0.000225,"Fossil"
"BE","Belgium","2020","9","Hydro",-0.028246,"Renewable"
"BE","Belgium","2020","9","Nuclear",2.589372,"Nuclear"
"BE","Belgium","2020","9","Wind",0.649163,"Renewable"
"BE","Belgium","2020","9","Solar",0.396617,"Renewable"
"BE","Belgium","2020","9","Other Renewable",0.364019,"Renewable"
"BE","Belgium","2020","9","Other",0.426736,"Fossil"
"BE","Belgium","2020","10","Gas",1.75753,"Fossil"
"BE","Belgium","2020","10","Coal",0,"Fossil"
"BE","Belgium","2020","10","Oil",7.7e-05,"Fossil"
"BE","Belgium","2020","10","Hydro",-0.017385,"Renewable"
"BE","Belgium","2020","10","Nuclear",2.547194,"Nuclear"
"BE","Belgium","2020","10","Wind",1.401596,"Renewable"
"BE","Belgium","2020","10","Solar",0.180044,"Renewable"
"BE","Belgium","2020","10","Other Renewable",0.229502,"Renewable"
"BE","Belgium","2020","10","Other",0.506722,"Fossil"
"BE","Belgium","2020","11","Gas",1.99194,"Fossil"
"BE","Belgium","2020","11","Coal",0,"Fossil"
"BE","Belgium","2020","11","Oil",4e-05,"Fossil"
"BE","Belgium","2020","11","Hydro",-0.015227,"Renewable"
"BE","Belgium","2020","11","Nuclear",3.013568,"Nuclear"
"BE","Belgium","2020","11","Wind",1.053347,"Renewable"
"BE","Belgium","2020","11","Solar",0.125546,"Renewable"
"BE","Belgium","2020","11","Other Renewable",0.392694,"Renewable"
"BE","Belgium","2020","11","Other",0.532053,"Fossil"
"BE","Belgium","2020","12","Gas",2.227995,"Fossil"
"BE","Belgium","2020","12","Coal",0,"Fossil"
"BE","Belgium","2020","12","Oil",0.000647,"Fossil"
"BE","Belgium","2020","12","Hydro",-0.014076,"Renewable"
"BE","Belgium","2020","12","Nuclear",3.280063,"Nuclear"
"BE","Belgium","2020","12","Wind",1.248131,"Renewable"
"BE","Belgium","2020","12","Solar",0.065804,"Renewable"
"BE","Belgium","2020","12","Other Renewable",0.406337,"Renewable"
"BE","Belgium","2020","12","Other",0.574399,"Fossil"
"BG","Bulgaria","2020","1","Gas",0.298934,"Fossil"
"BG","Bulgaria","2020","1","Coal",1.611351,"Fossil"
"BG","Bulgaria","2020","1","Oil",0,"Fossil"
"BG","Bulgaria","2020","1","Hydro",0.147771,"Renewable"
"BG","Bulgaria","2020","1","Nuclear",1.608052,"Nuclear"
"BG","Bulgaria","2020","1","Wind",0.167732,"Renewable"
"BG","Bulgaria","2020","1","Solar",0.084422,"Renewable"
"BG","Bulgaria","2020","1","Other Renewable",0.026463,"Renewable"
"BG","Bulgaria","2020","1","Other",0,"Fossil"
"BG","Bulgaria","2020","2","Gas",0.25829,"Fossil"
"BG","Bulgaria","2020","2","Coal",1.55203,"Fossil"
"BG","Bulgaria","2020","2","Oil",0,"Fossil"
"BG","Bulgaria","2020","2","Hydro",0.159042,"Renewable"
"BG","Bulgaria","2020","2","Nuclear",1.50363,"Nuclear"
"BG","Bulgaria","2020","2","Wind",0.175309,"Renewable"
"BG","Bulgaria","2020","2","Solar",0.091501,"Renewable"
"BG","Bulgaria","2020","2","Other Renewable",0.024889,"Renewable"
"BG","Bulgaria","2020","2","Other",0,"Fossil"
"BG","Bulgaria","2020","3","Gas",0.227381,"Fossil"
"BG","Bulgaria","2020","3","Coal",1.23346,"Fossil"
"BG","Bulgaria","2020","3","Oil",0,"Fossil"
"BG","Bulgaria","2020","3","Hydro",0.302613,"Renewable"
"BG","Bulgaria","2020","3","Nuclear",1.435478,"Nuclear"
"BG","Bulgaria","2020","3","Wind",0.178152,"Renewable"
"BG","Bulgaria","2020","3","Solar",0.105604,"Renewable"
"BG","Bulgaria","2020","3","Other Renewable",0.023347,"Renewable"
"BG","Bulgaria","2020","3","Other",0,"Fossil"
"BG","Bulgaria","2020","4","Gas",0.159529,"Fossil"
"BG","Bulgaria","2020","4","Coal",1.129312,"Fossil"
"BG","Bulgaria","2020","4","Oil",0,"Fossil"
"BG","Bulgaria","2020","4","Hydro",0.449603,"Renewable"
"BG","Bulgaria","2020","4","Nuclear",0.996139,"Nuclear"
"BG","Bulgaria","2020","4","Wind",0.122436,"Renewable"
"BG","Bulgaria","2020","4","Solar",0.145957,"Renewable"
"BG","Bulgaria","2020","4","Other Renewable",0.023906,"Renewable"
"BG","Bulgaria","2020","4","Other",0,"Fossil"
"BG","Bulgaria","2020","5","Gas",0.101577,"Fossil"
"BG","Bulgaria","2020","5","Coal",0.950118,"Fossil"
"BG","Bulgaria","2020","5","Oil",0,"Fossil"
"BG","Bulgaria","2020","5","Hydro",0.422872,"Renewable"
"BG","Bulgaria","2020","5","Nuclear",0.943971,"Nuclear"
"BG","Bulgaria","2020","5","Wind",0.121726,"Renewable"
