jenis,kode_trayek,trayek,jumlah_penumpang
BRT,1,KORIDOR 1 (BLOK M - KOTA),2.533.287
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),938.282
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),1.153.406
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),917.17
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),1.175.092
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),1.124.575
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),1.116.233
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1.166.396
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1.620.429
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),915.165
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),359.276
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),284.908
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),846.227
ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,121.18
ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,57.596
ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,31.543
ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,65.693
ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,192.537
ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,73.535
ANGKUTAN UMUM INTEGRASI,1M ,BLOK M - MERUYA,52.393
ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,38.967
ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,33.18
ANGKUTAN UMUM INTEGRASI,1Q,REMPOA - BLOK M,75.201
ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,49.786
ANGKUTAN UMUM INTEGRASI,2K,JGC - HARAPAN INDAH,2.725
ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,44.021
ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,55.74
ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,26.681
ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,233.339
ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,18.961
ANGKUTAN UMUM INTEGRASI,4F,PONDOK GEDE - PULOGADUNG 2,148.223
ANGKUTAN UMUM INTEGRASI,DA1,DUKUH ATAS - SAM RATULANGI,1.075
ANGKUTAN UMUM INTEGRASI,DA2,DUKUH ATAS - TANAH ABANG,3.363
ANGKUTAN UMUM INTEGRASI,DA3,DUKUH ATAS - KUNINGAN,13.931
ANGKUTAN UMUM INTEGRASI,DA4,DUKUH ATAS - KOTA,12.77
ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,43.569
ANGKUTAN UMUM INTEGRASI,5B,STASIUN TEBET - BIDARA CINA,46.078
ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,63.638
ANGKUTAN UMUM INTEGRASI,6C,STASIUN TEBET - KARET VIA PATRA KUNINGAN,273.019
ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - STASIUN SENEN,114.833
ANGKUTAN UMUM INTEGRASI,6M,BLOK M - STASIUN MANGGARAI,88.182
ANGKUTAN UMUM INTEGRASI,6N,RAGUNAN - BLOK M VIA KEMANG,113.396
ANGKUTAN UMUM INTEGRASI,6Q,EPICENTRUM - CASABLANCA,14.775
ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,114.256
ANGKUTAN UMUM INTEGRASI,7B,KAMPUNG RAMBUTAN - BLOK M,120.148
ANGKUTAN UMUM INTEGRASI,7D,PANCORAN - TMII,86.822
ANGKUTAN UMUM INTEGRASI,7E,KAMPUNG RAMBUTAN - RAGUNAN,18.211
ANGKUTAN UMUM INTEGRASI,7N,GANDARIA - KAMPUNG RAMBUTAN,8.588
ANGKUTAN UMUM INTEGRASI,7P,PONDOK KELAPA - BKN,33.976
ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,84.037
ANGKUTAN UMUM INTEGRASI,8D,JOGLO - BLOK M,92.288
ANGKUTAN UMUM INTEGRASI,8E,BINTARO - BLOK M,61.023
ANGKUTAN UMUM INTEGRASI,8K,BATUSARI - TANAH ABANG,46.848
ANGKUTAN UMUM INTEGRASI,9D,PASAR MINGGU - TANAH ABANG,155.916
ANGKUTAN UMUM INTEGRASI,9E,KEBAYORAN LAMA - GROGOL 2,71.977
ANGKUTAN UMUM INTEGRASI,9H,CIPEDAK - BLOK M,73.213
ANGKUTAN UMUM INTEGRASI,11A,PULO GEBANG - RAWAMANGUN,17.462
