Region,Subregion,Country,country_code,Variables,Sub-Variables,Value,Sentences,Working Document,Production_MW,Production_Mt,Official
Africa,Africa,Algeria,DZA,Additional note,,N/A,,,,,
Africa,Africa,Algeria,DZA,By-product,,N/A,,,,,
Africa,Africa,Algeria,DZA,Domestic demand,,"Transportation, marine, heating, industrial",Page 24,DZA_Perspective for the Development of Renewable Energy and Hydrogen (eng),,,
Africa,Africa,Algeria,DZA,Energy source,2040,Fossil fuel with CCS and renewable,Page 24,DZA_Perspective for the Development of Renewable Energy and Hydrogen (eng),,,
Africa,Africa,Algeria,DZA,Energy source,2030,Oil and gas without CCS,Page 26,DZA_Perspective for the Development of Renewable Energy and Hydrogen (eng),,,
Africa,Africa,Algeria,DZA,Export to China,,N/A,,,,,
Africa,Africa,Algeria,DZA,Infrastructure strategy,,N/A,,,,,
Africa,Africa,Algeria,DZA,Production capacity,,N/A,,,,,
Africa,Africa,Algeria,DZA,RnD fund,,N/A,,,,,
Africa,Africa,Algeria,DZA,Trade medium,,"LH2, Ammonia, Methanol, LOHC, syn-CH4",Page 24,DZA_Perspective for the Development of Renewable Energy and Hydrogen (eng),,,
Africa,Africa,Algeria,DZA,Trade partner,,N/A,,,,,
Africa,Africa,Algeria,DZA,Trade reason,,Diversification of energy mix from fossil fuels,Page 23,DZA_Perspective for the Development of Renewable Energy and Hydrogen (eng),,,
Africa,Africa,Algeria,DZA,Trade strategy,,Export,Creation of a Hub for the production and export of hydrogen (page 23),DZA_Perspective for the Development of Renewable Energy and Hydrogen (eng),,,
Africa,Africa,Algeria,DZA,Trade time,,N/A,,,,,
Africa,Africa,Algeria,DZA,Trade value,,N/A,,,,,
Africa,Africa,Algeria,DZA,Type of hydrogen,2030,Grey hydrogen,Page 26,DZA_Perspective for the Development of Renewable Energy and Hydrogen (eng),,,
Africa,Africa,Algeria,DZA,Type of hydrogen,2040,Low carbon hydrogen,Page 26,DZA_Perspective for the Development of Renewable Energy and Hydrogen (eng),,,
Africa,Africa,Kenya,KEN,Additional note,,N/A,,KEN_Green Hydrogen Stragey (eng),,,
Africa,Africa,Kenya,KEN,By-product,,N/A,,KEN_Green Hydrogen Stragey (eng),,,
Africa,Africa,Kenya,KEN,Domestic demand,,"Industry (nitrogen fertilizers), Transport, Power","Green hydrogen has potential applications across several important sectors in Kenya, including industry, transport, and power.",KEN_Green Hydrogen Stragey (eng),,,
Africa,Africa,Kenya,KEN,Energy source,,Renewable,,,,,
Africa,Africa,Kenya,KEN,Export to China,,N/A,,KEN_Green Hydrogen Stragey (eng),,,
Africa,Africa,Kenya,KEN,Infrastructure strategy,,,,,,,
Africa,Africa,Kenya,KEN,Production capacity,2027,100 MW,Figure 3 page 6,KEN_Green Hydrogen Stragey (eng),100 MW,0.01 Mt,
Africa,Africa,Kenya,KEN,Production capacity,2032,150 MW,Figure 3 page 6,KEN_Green Hydrogen Stragey (eng),150 MW,0.01 Mt,
Africa,Africa,Kenya,KEN,Public financing,,,,,,,
Africa,Africa,Kenya,KEN,Trade medium,,N/A,,KEN_Green Hydrogen Stragey (eng),,,
Africa,Africa,Kenya,KEN,Trade partner,,Regional trade in Africa,"during the second phase (2028-2032), the plan will consider market developments and other external factors to leverage the lessons learnt from the initial phase to explore new hydrogen opportunities such as regional export",KEN_Green Hydrogen Stragey (eng),,,
Africa,Africa,Kenya,KEN,Trade reason,,Improve balance of payment,"Improved balance of payments: Producing green hydrogen for use as feedstock in industrial processing plants, will reduce Kenya’s imports of hydrogen-based commodities like nitrogen fertiliser and methanol. Cont.",KEN_Green Hydrogen Stragey (eng),,,
Africa,Africa,Kenya,KEN,Trade strategy,,Export,"during the second phase (2028-2032), the plan will consider market developments and other external factors to leverage the lessons learnt from the initial phase to explore new hydrogen opportunities such as regional export",KEN_Green Hydrogen Stragey (eng),,,1
Africa,Africa,Kenya,KEN,Trade time,,2032,Figure 3 page 6,KEN_Green Hydrogen Stragey (eng),,,
Africa,Africa,Kenya,KEN,Trade value,,N/A,,KEN_Green Hydrogen Stragey (eng),,,
Africa,Africa,Kenya,KEN,Type of hydrogen,,Green,Title of the document,KEN_Green Hydrogen Stragey (eng),,,
Africa,Africa,Mauritania,MRT,Additional note,,N/A,,,,,
Africa,Africa,Mauritania,MRT,By-product,,N/A,,,,,
Africa,Africa,Mauritania,MRT,Domestic demand,Short term,"Exports, and fertilisers industry",,,,,
Africa,Africa,Mauritania,MRT,Domestic demand,Medium term,"e-fuel, green steel, mining equipment",,,,,
Africa,Africa,Mauritania,MRT,Domestic demand,Long term,"Transportation, power generation",,,,,
Africa,Africa,Mauritania,MRT,Energy source,,"Renewable energy (Solar and Win, Natural Gas",,,,,
Africa,Africa,Mauritania,MRT,Export to China,,N/A,,,,,
Africa,Africa,Mauritania,MRT,Infrastructure strategy,,"Green hydrogen hubs, and blue hydrogen hubs",,,,,
Africa,Africa,Mauritania,MRT,Production capacity,Renewable - Potential,12 Mt,,,"172,791 MW",12.00 Mt,
Africa,Africa,Mauritania,MRT,Production capacity,Steam Reforming - Potential,8.1 Mt,,,"116,634 MW",8.10 Mt,
Africa,Africa,Mauritania,MRT,Production capacity,2030,13 GW,Hybrid renewable electricity target,,,,
Africa,Africa,Mauritania,MRT,Production capacity,2040,36 GW,Hybrid renewable electricity target,,,,
Africa,Africa,Mauritania,MRT,Production capacity,2050,70 GW,Hybrid renewable electricity target,,,,
Africa,Africa,Mauritania,MRT,Production capacity,2050,6.46 Mt,Figure 17,,"93,019 MW",6.46 Mt,
