"nama_kelurahan","total_pop","prod_age_perc","age_under20","age_productive","age_above60"
"PULAU PANGGANG",7176,0.575390189520624,2615,4129,432
"PULAU KELAPA",7298,0.566730611126336,2669,4136,493
"PULAU HARAPAN",2684,0.587555886736215,946,1577,161
"PULAU UNTUNG JAWA",2608,0.566334355828221,971,1477,160
"PULAU TIDUNG",6093,0.566551780731988,2271,3452,370
"PULAU PARI",3729,0.561276481630464,1408,2093,228
"GAMBIR",2891,0.64303009339329,703,1859,329
"CIDENG",18639,0.584902623531305,4884,10902,2853
"PETOJO UTARA",21513,0.58722632826663,6108,12633,2772
"PETOJO SELATAN",18295,0.594096747745286,5164,10869,2262
"KEBON KELAPA",12441,0.589582830962141,3381,7335,1725
"DURI PULO",24525,0.589480122324159,7566,14457,2502
"PASAR BARU",15333,0.579273462466575,3664,8882,2787
"KARANG ANYAR",32426,0.590482945784247,9566,19147,3713
"KARTINI",27438,0.591369633355201,7475,16226,3737
"GUNUNG SAHARI UTARA",20190,0.590539871223378,5231,11923,3036
"MANGGA DUA SELATAN",35608,0.603459896652438,10275,21488,3845
"KEMAYORAN",26186,0.589398915451004,7852,15434,2900
"KEBON KOSONG",38235,0.592519942461096,12298,22655,3282
"HARAPAN MULIA",28895,0.588579338985984,9304,17007,2584
"SERDANG",37383,0.596634834015462,11930,22304,3149
"GUNUNG SAHARI SELATAN",24055,0.587694865932239,7062,14137,2856
"CEMPAKA BARU",41466,0.593546520040515,13205,24612,3649
"SUMUR BATU",28752,0.588341680578742,9003,16916,2833
"UTAN PANJANG",37492,0.588525552117785,12360,22065,3067
"SENEN",8503,0.591908738092438,2597,5033,873
"KENARI",11642,0.608486514344614,3177,7084,1381
"PASEBAN",29567,0.595968478371157,8925,17621,3021
"KRAMAT",36549,0.593668773427453,11289,21698,3562
"KWITANG",19248,0.577878221113882,5983,11123,2142
"BUNGUR",22763,0.589157843869437,6825,13411,2527
"CEMPAKA PUTIH TIMUR",29380,0.600816882232811,8337,17652,3391
"CEMPAKA PUTIH BARAT",44558,0.595336415458504,13797,26527,4234
"RAWASARI",27094,0.605041706650919,7969,16393,2732
"MENTENG",31717,0.588517198978466,9418,18666,3633
"PEGANGSAAN",29184,0.591454221491228,8837,17261,3086
"CIKINI",10086,0.594586555621654,2894,5997,1195
"GONDANGDIA",4799,0.575119816628464,1114,2760,925
"KEBON SIRIH",15384,0.593408736349454,4527,9129,1728
"GELORA",3939,0.602691038334603,1127,2374,438
"BENDUNGAN HILIR",26555,0.601280361513839,7620,15967,2968
"KARET TENGSIN",24428,0.59685606680858,7831,14580,2017
"PETAMBURAN",42894,0.590781927542314,14057,25341,3496
"KEBON MELATI",41017,0.589365385084233,13412,24174,3431
"KEBON KACANG",27093,0.585501790130292,8128,15863,3102
"KAMPUNG BALI",13960,0.569627507163324,4390,7952,1618
"JOHAR BARU",46387,0.590941427555134,14324,27412,4651
"KAMPUNG RAWA",27174,0.586479723264886,8973,15937,2264
"GALUR",22908,0.593024270997032,7395,13585,1928
"TANAH TINGGI",48232,0.588406037485487,15584,28380,4268
"PENJARINGAN",114099,0.59273963838421,38855,67631,7613
"KAMAL MUARA",16866,0.581287797936677,5714,9804,1348
"KAPUK MUARA",45524,0.585317634654248,14582,26646,4296
"PEJAGALAN",91483,0.594438310943017,26989,54381,10113
"PLUIT",58442,0.572276787242052,15874,33445,9123
"TANJUNG PRIOK",44061,0.596990535848029,14793,26304,2964
"SUNTER JAYA",79878,0.585530433911715,25632,46771,7475
"PAPANGGO",50212,0.587548793117183,17095,29502,3615
"SUNGAI BAMBU",37838,0.591336751413923,12568,22375,2895
"KEBON BAWANG",64656,0.594577456075229,21299,38443,4914
"SUNTER AGUNG",88500,0.589627118644068,26536,52182,9782
"WARAKAS",57072,0.592304457527334,19441,33804,3827
"KOJA",35832,0.593882563072114,12092,21280,2460
"TUGU UTARA",88446,0.573344187413789,31312,50710,6424
