OID_,x,y,fid_1,dist_1,ang_1,fid_2,dist_2,ang_2,fid_3,dist_3,ang_3,fid_4,dist_4,ang_4,fid_5,dist_5,ang_5,fid_6,dist_6,ang_6,fid_7,dist_7,ang_7,fid_8,dist_8,ang_8,fid_9,dist_9,ang_9,fid_0,dist_0,ang_0
1,106.654996141103993,-6.054999970288500,1,19862.569168167614407,117.758411824088512,1,22565.879813980587642,124.757198081413023,1,25001.679226153300988,140.304776377033534,1,20790.760035436163889,131.508288213199080,1,20812.816817958086176,131.533149672181708,1,25149.228663924419379,130.475770275434428,1,27650.391830650372867,116.549617504770509,1,27183.640930217989080,125.937628770794333,1,21178.021446215469041,113.135913217885189,1,12256.839382806298090,153.109241073301007
2,106.664996140837005,-6.054999970288500,1,18889.973445442665252,119.321374627989371,1,21665.562808950766339,126.425369818762718,1,24309.537829330176464,142.311746078149980,1,19975.223384635726688,133.612058058115394,1,19997.596704307692562,133.635594705962916,1,24317.748610694725357,132.168049268858198,1,26664.691272314663365,117.611821443617728,1,26295.352260649666277,127.352382938994594,1,20164.715378419190529,114.370828751324922,1,11797.518925320362541,157.908804390769859
3,106.674996140570002,-6.054999970288500,1,17932.963300139861531,121.052619655553187,1,20785.205702621558885,128.236545527265122,1,23648.964356702395889,144.433595528053104,1,19188.898930380077218,135.891581054764799,1,19211.581132074181369,135.913406245617296,1,23508.986233635372628,133.978475198902942,1,25688.866421284943499,118.755183034409228,1,25424.223160165784066,128.865100348408930,1,19161.773706621122983,115.735764225021384,1,11427.307551496323867,163.057725519598847
4,106.684996140302999,-6.054999970288500,1,16994.172089063897147,122.977123388371382,1,19927.454126824712148,130.205801148383642,1,23022.101301796115877,146.625311939926860,1,18435.525060505777219,138.361642921807970,1,18458.501389910696162,138.381301970952421,1,22725.367205510305212,135.915842748309103,1,24724.086742198087450,119.988342483858517,1,24572.078803703119775,130.483971157254700,1,18170.912796001306560,117.250558353388456,1,11155.080788622113687,168.504082870063712
5,106.694996140035997,-6.054999970288500,1,16076.791565129249648,125.123983900610241,1,19095.354421576765162,132.349452152743453,1,22432.162002708922955,148.986157104230102,1,17719.305005993814120,141.036753082329540,1,17742.551681915134395,141.053718920918726,1,21969.581992736882967,137.989056098685808,1,23771.696881218158524,121.321015538946398,1,23740.963382266021654,132.217693422231491,1,17194.221112787916354,118.938800369351199,1,10988.123594978014808,174.168845710876582
6,106.704996139768994,-6.054999970288500,1,15184.702902713137519,127.526878114984285,1,18292.407639588713209,134.684860350664394,1,21882.341207026271150,151.470071832916716,1,17044.923057702446386,143.930332979522149,1,17068.405093471792497,143.944005789985255,1,21244.601488881005935,140.206881047322895,1,22833.247363068800041,122.764114728247662,1,22933.163419876989792,134.075395923416323,1,16234.256340340787574,120.828572667589611,1,10901.893953825170684,171.962668156874059
7,106.714996139502006,-6.054999970288500,1,14322.632811307106749,130.224336585430677,1,17522.621901099944807,137.230061742669932,1,21374.816569303849974,154.020492370050448,1,16417.535768421108514,147.053610212993249,1,16441.204649227613118,147.063323492730092,1,20553.685632838976744,142.577607998253313,1,21910.529497085437470,124.329870927627013,1,22151.229833186185715,136.066510772021957,1,15294.168483325138368,122.953286146478334,1,10802.345122936669213,175.695494193157629
8,106.984996132291002,-6.054999970288500,1,21075.493611162663001,-116.028135560386829,1,22065.513037698485277,-125.664001075086858,1,28111.566333146085526,-133.127390784409414,1,22016.869895835054194,-124.490452613222956,1,24464.551816802031681,-150.092466615250601,1,23838.495461314956628,-133.219404425047742,1,16995.748128137038293,-136.404874608723986,1,19439.598285497013421,-141.328785804902083,1,18973.643903922806203,-116.009728089787856,1,11809.625983740615993,-121.112033220730140
9,106.994996132023999,-6.054999970288500,1,22075.584476282692776,-114.768267013753658,1,22973.978490401619638,-124.055164352027887,1,28929.406639614251617,-131.629422684785936,1,22937.865284256422456,-122.925448204682084,1,25034.905913649898139,-147.896797650381501,1,24656.875535879276867,-131.458593363295392,1,17777.187664420871442,-133.821026722567609,1,20149.861289465748996,-138.871442192186464,1,19974.340211227397958,-114.676877162981071,1,12770.228191445403354,-118.545752422782002
10,106.654996141103993,-6.064999970073460,1,19372.251081957656424,114.862853021087957,1,21954.233053378222394,122.385405535183864,1,24161.093519021189422,138.629571814116559,1,20074.959456018790661,129.144040653950384,1,20096.625411036435253,129.172360089748651,1,24445.859237417625991,128.503775068660133,1,27172.599101845062251,114.633363717793614,1,26549.705328211617598,124.005010357736836,1,20768.423289857615600,110.329308425491348,1,11281.642740351122484,150.568194184954336
11,106.664996140837005,-6.064999970073460,1,18373.738093235209817,116.313317284484128,1,21027.761803339006292,124.000116697490853,1,23444.162160475989367,140.659216640458169,1,19229.104490824978711,131.225648143400235,1,19251.116833666925231,131.252848691083955,1,23589.616188775446062,130.176858145915503,1,26170.401821497420315,115.642516654598339,1,25639.480305877626961,125.387567578142367,1,19734.115990235324716,111.444906502582867,1,10780.863066895944939,155.697942947171128
12,106.674996140570002,-6.064999970073460,1,17388.357567619081237,117.929371878563657,1,20119.533364290589816,125.762166318107603,1,22758.497612596722320,142.814037745081038,1,18410.956600830824755,133.495536162839358,1,18433.313483256253676,133.521210250295695,1,22755.004849387893046,131.974341854572629,1,25175.543487425926287,116.548224110184876,1,24745.289627478654438,126.871000862645673,1,18708.123582527248800,112.683440450263888,1,10374.443243945697759,161.277678189396170
