jenis,kode_trayek,trayek,jumlah_penumpang
BRT,1,KORIDOR 1 (BLOK M - KOTA),"2,686,458"
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),"936,927"
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),"1,127,029"
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),"784,864"
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),"1,161,894"
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),"1,089,313"
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),"1,109,984"
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),"1,140,845"
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),"1,562,871"
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),"872,266"
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),"367,451"
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),"303,913"
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),"796,166"
ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,"121,138"
ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,"61,248"
ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,"34,124"
ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,"64,548"
ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,"164,306"
ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,"69,069"
ANGKUTAN UMUM INTEGRASI,1M ,BLOK M - MERUYA,"56,927"
ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,"40,223"
ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,"27,335"
ANGKUTAN UMUM INTEGRASI,1Q,REMPOA - BLOK M,"68,681"
ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,"48,140"
ANGKUTAN UMUM INTEGRASI,2K,JGC - HARAPAN INDAH,0
ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,"41,582"
ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,"59,280"
ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,"28,977"
ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,"198,762"
