jenis,kode_trayek,trayek,jumlah_penumpang,
BRT,1,KORIDOR 1 (BLOK M - KOTA),2.031.443,
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),785.449,
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),928.185,
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),698.444,
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),926.056,
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),898.688,
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),913.161,
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),976.372,
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1.382.629,
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),751.396,
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),285.389,
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),217.891,
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),685.745,
ANGKUTAN UMUM INTEGRASI,1A,PIK - BALAIKOTA,93.291,
ANGKUTAN UMUM INTEGRASI,1B,STASIUN PALMERAH - TOSARI,53.171,
ANGKUTAN UMUM INTEGRASI,1F,STASIUN PALMERAH - BUNDARAN SENAYAN,31.306,
ANGKUTAN UMUM INTEGRASI,1C,PESANGGRAHAN - BLOK M,51.344,
ANGKUTAN UMUM INTEGRASI,1E,PONDOK LABU - BLOK M,118.283,
ANGKUTAN UMUM INTEGRASI,1H,STASIUN TANAH ABANG - STASIUN GONDANGDIA,50.661,
ANGKUTAN UMUM INTEGRASI,1N,TANAH ABANG - BLOK M,23.925,
ANGKUTAN UMUM INTEGRASI,1P,SENEN - BUNDERAN SENAYAN,30.716,
ANGKUTAN UMUM INTEGRASI,1Q,REMPOA - BLOK M,48.864,
ANGKUTAN UMUM INTEGRASI,1R,STASIUN PASAR SENEN - STASIUN TANAH ABANG,39.866,
ANGKUTAN UMUM INTEGRASI,2K,HARAPAN INDAH - JAKARTA GARDEN CITY,2.155,
ANGKUTAN UMUM INTEGRASI,3D,PENJARINGAN - RAWA BUAYA,32.759,
ANGKUTAN UMUM INTEGRASI,3E,SENTRALAND CENGKARENG - PURI KEMBANGAN,30.582,
ANGKUTAN UMUM INTEGRASI,4A,TU GAS - GROGOL 2,22.846,
ANGKUTAN UMUM INTEGRASI,4B,STASIUN MANGGARAI - UI,183.517,
ANGKUTAN UMUM INTEGRASI,4C,TU GAS - BUNDERAN SENAYAN,14.296,
ANGKUTAN UMUM INTEGRASI,4F,PONDOK GEDE - PULOGADUNG 2,128.726,
ANGKUTAN UMUM INTEGRASI,DA1,DUKUH ATAS - RATULANGI,5.286,
ANGKUTAN UMUM INTEGRASI,DA2,DUKUH ATAS - TANAH ABANG,4.125,
ANGKUTAN UMUM INTEGRASI,DA3,DUKUH ATAS - KUNINGAN,4.887,
ANGKUTAN UMUM INTEGRASI,DA4,DUKUH ATAS - KOTA,3.713,
ANGKUTAN UMUM INTEGRASI,5A,KAMPUNG MELAYU - GROGOL 1,24.712,
ANGKUTAN UMUM INTEGRASI,5B,STASIUN TEBET - BIDARA CINA,40.172,
ANGKUTAN UMUM INTEGRASI,5F,KAMPUNG MELAYU - TANAH ABANG,60.639,
ANGKUTAN UMUM INTEGRASI,6C,STASIUN TEBET - KARET,260.161,
ANGKUTAN UMUM INTEGRASI,6H,LEBAK BULUS - STASIUN SENEN,118.685,
ANGKUTAN UMUM INTEGRASI,6M,BLOK M - STASIUN MANGGARAI,84.05,
ANGKUTAN UMUM INTEGRASI,6N,RAGUNAN - BLOK M VIA KEMANG,89.16,
ANGKUTAN UMUM INTEGRASI,6Q,EPICENTRUM - CASABLANCA,11.377,
ANGKUTAN UMUM INTEGRASI,7A,KAMPUNG RAMBUTAN - LEBAK BULUS,94.74,
ANGKUTAN UMUM INTEGRASI,7B,KAMPUNG RAMBUTAN - BLOK M,81.28,
ANGKUTAN UMUM INTEGRASI,7D,CAWANG UKI - TMII,58.821,
ANGKUTAN UMUM INTEGRASI,7E,KAMPUNG RAMBUTAN - RAGUNAN,11.546,
ANGKUTAN UMUM INTEGRASI,7N,GANDARIA - KAMPUNG RAMBUTAN,8.678,
ANGKUTAN UMUM INTEGRASI,8C,KEBAYORAN LAMA - TANAH ABANG,92.596,
ANGKUTAN UMUM INTEGRASI,8D,JOGLO - BLOK M,76.728,
ANGKUTAN UMUM INTEGRASI,8E,BINTARO - BLOK M,48.917,
ANGKUTAN UMUM INTEGRASI,8K,BATUSARI - TANAH ABANG,30.964,
ANGKUTAN UMUM INTEGRASI,9D,PASAR MINGGU - TANAH ABANG,99.546,
ANGKUTAN UMUM INTEGRASI,9E,KEBAYORAN LAMA - GROGOL 2,62.067,
ANGKUTAN UMUM INTEGRASI,9H,CIPEDAK - BLOK M,49.17,
ANGKUTAN UMUM INTEGRASI,11A,PULO GEBANG - RAWAMANGUN,9.626,
ANGKUTAN UMUM INTEGRASI,11D,PULO GEBANG - PULO GADUNG 2 (VIA PIK),69.45,
ANGKUTAN UMUM INTEGRASI,11Q,KAMPUNG MELAYU - PULOGEBANG VIA BKT,51.088,
ANGKUTAN UMUM INTEGRASI,11T,PULO GEBANG - STASIUN CAKUNG,621,
ANGKUTAN UMUM INTEGRASI,11U,PULO GEBANG - STASIUN CAKUNG - CILINCING,6.908,1
TRANSJABODETABEK,,PULO GEBANG - LEBAK BULUS,40,
TRANSJABODETABEK,,PULO GEBANG - PINANG RANTI,24,
TRANSJABODETABEK,,PULO GEBANG - PASAR MINGGU,34,
TRANSJABODETABEK,,PULO GEBANG - TANJUNG PRIUK,20,
