OID_,Join_Count,TARGET_FID,x,y,WADMKD,WADMKC,WADMKK,KDEPUM,KDCPUM,KDPKAB,Shape__Are,Shape__Len
1,0,1,106.654996141103993,-6.054999970288500,,,,,,,,
2,0,2,106.664996140837005,-6.054999970288500,,,,,,,,
3,0,3,106.674996140570002,-6.054999970288500,,,,,,,,
4,0,4,106.684996140302999,-6.054999970288500,,,,,,,,
5,0,5,106.694996140035997,-6.054999970288500,,,,,,,,
6,0,6,106.704996139768994,-6.054999970288500,,,,,,,,
7,0,7,106.714996139502006,-6.054999970288500,,,,,,,,
8,0,8,106.984996132291002,-6.054999970288500,,,,,,,,
9,0,9,106.994996132023999,-6.054999970288500,,,,,,,,
10,0,10,106.654996141103993,-6.064999970073460,,,,,,,,
11,0,11,106.664996140837005,-6.064999970073460,,,,,,,,
12,0,12,106.674996140570002,-6.064999970073460,,,,,,,,
13,0,13,106.684996140302999,-6.064999970073460,,,,,,,,
14,0,14,106.694996140035997,-6.064999970073460,,,,,,,,
15,0,15,106.704996139768994,-6.064999970073460,,,,,,,,
16,0,16,106.714996139502006,-6.064999970073460,,,,,,,,
17,0,17,106.994996132023999,-6.064999970073460,,,,,,,,
18,0,18,106.654996141103993,-6.074999969858410,,,,,,,,
19,0,19,106.664996140837005,-6.074999969858410,,,,,,,,
20,0,20,106.674996140570002,-6.074999969858410,,,,,,,,
21,0,21,106.684996140302999,-6.074999969858410,,,,,,,,
22,0,22,106.694996140035997,-6.074999969858410,,,,,,,,
23,0,23,106.704996139768994,-6.074999969858410,,,,,,,,
24,0,24,106.714996139502006,-6.074999969858410,,,,,,,,
25,0,25,106.724996139235003,-6.074999969858410,,,,,,,,
26,0,26,106.734996138967006,-6.074999969858410,,,,,,,,
27,0,27,106.994996132023999,-6.074999969858410,,,,,,,,
28,0,28,106.654996141103993,-6.084999969643360,,,,,,,,
29,0,29,106.664996140837005,-6.084999969643360,,,,,,,,
30,0,30,106.674996140570002,-6.084999969643360,,,,,,,,
31,0,31,106.684996140302999,-6.084999969643360,,,,,,,,
32,0,32,106.694996140035997,-6.084999969643360,,,,,,,,
33,0,33,106.704996139768994,-6.084999969643360,,,,,,,,
34,0,34,106.714996139502006,-6.084999969643360,,,,,,,,
35,0,35,106.724996139235003,-6.084999969643360,,,,,,,,
36,1,36,106.734996138967006,-6.084999969643360,KAMAL MUARA,PENJARINGAN,JAKARTA UTARA,3172011002,317201,3172,15673284.197000000625849,30119.799297199999273
37,0,37,106.974996132558005,-6.084999969643360,,,,,,,,
38,0,38,106.984996132291002,-6.084999969643360,,,,,,,,
39,0,39,106.994996132023999,-6.084999969643360,,,,,,,,
40,0,40,106.654996141103993,-6.094999969428310,,,,,,,,
41,0,41,106.664996140837005,-6.094999969428310,,,,,,,,
42,0,42,106.674996140570002,-6.094999969428310,,,,,,,,
43,0,43,106.684996140302999,-6.094999969428310,,,,,,,,
44,0,44,106.694996140035997,-6.094999969428310,,,,,,,,
