OID_,kelurahan,area,kecamatan,kota,provinsi,total_pop,prod_age_perc,age_under20,age_productive,age_above60
1,ANCOL,813.562788700983447,Pademangan,Jakarta Utara,DKI Jakarta,30405,0.596546621000000,9849,18138,2418
2,PEKOJAN,79.936832152057946,Tambora,Jakarta Barat,DKI Jakarta,28203,0.592135588000000,7846,16700,3657
3,MARUNDA,764.605762459978109,Cilincing,Jakarta Utara,DKI Jakarta,38596,0.567623588000000,14694,21908,1994
4,KAYU PUTIH,384.474101523771708,Pulo Gadung,Jakarta Timur,DKI Jakarta,49943,0.598402178000000,14792,29886,5265
5,LAGOA,157.466981668187458,Koja,Jakarta Utara,DKI Jakarta,76596,0.581270562000000,26597,44523,5476
6,MANGGA BESAR,55.116700900895850,Taman Sari,Jakarta Barat,DKI Jakarta,8974,0.582349008000000,2239,5226,1509
7,JEMBATAN LIMA,46.311832024252539,Tambora,Jakarta Barat,DKI Jakarta,25719,0.599440103000000,7680,15417,2622
8,DUREN TIGA,199.006633870144753,Pancoran,Jakarta Selatan,DKI Jakarta,34740,0.601957398000000,10675,20912,3153
9,KELAPA GADING TIMUR,315.643787727281563,Kelapa Gading,Jakarta Utara,DKI Jakarta,40253,0.569373711000000,10315,22919,7019
10,DUKUH,170.346156202678799,Kramat Jati,Jakarta Timur,DKI Jakarta,31406,0.586384767000000,10560,18416,2430
11,KUNINGAN TIMUR,219.530986138718589,Setiabudi,Jakarta Selatan,DKI Jakarta,7188,0.615331107000000,2072,4423,693
12,GROGOL SELATAN,284.521499749016243,Kebayoran Lama,Jakarta Selatan,DKI Jakarta,54963,0.600149191000000,17169,32986,4808
13,CIGANJUR,361.518093430973522,Jagakarsa,Jakarta Selatan,DKI Jakarta,49123,0.596054801000000,16410,29280,3433
14,PASAR BARU,183.085275382038844,Sawah Besar,Jakarta Pusat,DKI Jakarta,15333,0.579273462000000,3664,8882,2787
15,PONDOK KELAPA,577.181772506495349,Duren Sawit,Jakarta Timur,DKI Jakarta,90973,0.582920207000000,29355,53030,8588
16,SLIPI,98.533470339754786,Palmerah,Jakarta Barat,DKI Jakarta,20534,0.593746956000000,6395,12192,1947
17,PESANGGRAHAN,198.425891950707552,Pesanggrahan,Jakarta Selatan,DKI Jakarta,34624,0.591006238000000,11271,20463,2890
18,KOTA BAMBU UTARA,67.099004106625500,Palmerah,Jakarta Barat,DKI Jakarta,31881,0.582792259000000,10712,18580,2589
19,TANJUNG PRIOK,385.282656379380796,Tanjung Priok,Jakarta Utara,DKI Jakarta,44061,0.596990536000000,14793,26304,2964
20,BALI MESTER,66.854348763014016,Jatinegara,Jakarta Timur,DKI Jakarta,11534,0.590601699000000,3113,6812,1609
21,WIJAYA KUSUMA,228.185413804246480,Grogol Petamburan,Jakarta Barat,DKI Jakarta,48144,0.603979727000000,14459,29078,4607
22,PULAU PARI,148.387485557752598,Kepulauan Seribu Selatan,Kepulauan Seribu,DKI Jakarta,3729,0.561276482000000,1408,2093,228
23,PEGADUNGAN,750.457752422182239,Kalideres,Jakarta Barat,DKI Jakarta,95792,0.604319776000000,31296,57889,6607
24,RAWAJATI,148.580993128802874,Pancoran,Jakarta Selatan,DKI Jakarta,25849,0.611629077000000,7873,15810,2166
25,MUNJUL,192.678648808950243,Cipayung,Jakarta Timur,DKI Jakarta,30517,0.588884884000000,10275,17971,2271
26,KEMBANGAN UTARA,424.277639865273329,Kembangan,Jakarta Barat,DKI Jakarta,69089,0.596824386000000,22925,41234,4930
27,RAWA BUAYA,373.836266086603587,Cengkareng,Jakarta Barat,DKI Jakarta,82133,0.596276771000000,27306,48974,5853
28,SUKABUMI UTARA,154.551465652160260,Kebon Jeruk,Jakarta Barat,DKI Jakarta,48995,0.586835391000000,16315,28752,3928
29,KEBON PALA,230.835450562619087,Makasar,Jakarta Timur,DKI Jakarta,58677,0.598820662000000,18830,35137,4710
30,BATU AMPAR,252.960941518211087,Kramat Jati,Jakarta Timur,DKI Jakarta,61120,0.585880236000000,20511,35809,4800
31,PULAU KELAPA,32.689907608751760,Kepulauan Seribu Utara,Kepulauan Seribu,DKI Jakarta,7298,0.566730611000000,2669,4136,493
