OBJECTID,name,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_ANGLE,tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jumlah_luas_wilayah_(km2),jumlah_kepadatan_(jiwa/km2),jumlah_populasi_(jiwa/km2)
1,SMK Negeri 27 Jakarta,193,101.7949127,106.8348118,-6.166091982,-82.58893209,2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1.89,8480.02117,16027
2,MI At Taqwa 20,142,7276.65397,106.9522629,-6.212572651,-162.8810915,2020,PROVINSI DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,10.64,5074.081038,53988
3,SD Negeri Utan Kayu Selatan 11 Pagi,24,309.6420225,106.8737352,-6.205462976,47.42493977,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,1.12,36880.23525,41306
4,Stars Elementary School,62,537.0571948,106.8381288,-6.162333569,101.4040109,2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1.89,8480.02117,16027
5,SD Mahatma Gandhi,193,202.5477267,106.8348118,-6.166091982,-149.2391008,2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1.89,8480.02117,16027
6,Yayasan Rumah Pendidikan Islam,79,206.3967471,106.8331993,-6.228753053,-115.0692907,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,2.15,3428.970657,7372
7,SDS Gemar Belajar Berkarya Bersama,62,404.0086947,106.8381288,-6.162333569,98.74170956,2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,1.89,8480.02117,16027
8,SD Umum,202,1064.56232,106.8547368,-6.174415741,-5.58922124,2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,1.19,39507.13686,47013
9,Yayasan Pendidikan Charitas,185,934.7420325,106.7746766,-6.289407398,21.85040305,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,4.11,11119.83471,45703
10,SD Negeri Tanah Tinggi 01 Pagi,201,484.0387971,106.84248,-6.178223531,-111.5035151,2020,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,0.62,77808.63702,48241
11,SD Negeri Rawa Bunga 11 dan 12,26,360.8604349,106.874366,-6.22015737,63.5878471,2020,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,0.88,30480.31945,26823
12,SMA Tarakanita 1 & SMK Tarakanita,98,1183.881054,106.8019075,-6.243323717,-76.25715261,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,1.62,33021.80877,53495
13,SMP - SMK Al-Hidayah Lestari,185,611.4329963,106.7746766,-6.289407398,-31.85676383,2020,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,4.11,11119.83471,45703
